epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
19,1225.25,1.59539,1.74975,1.5497,0.5894,0.53898,0.55675,0.29863,1.66041,1.82776,1.58178,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,2425.33,1.59349,1.74251,1.54826,0.61063,0.54068,0.56852,0.30231,1.65703,1.83571,1.5837,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,3626.29,1.57744,1.62276,1.57668,0.61719,0.5417,0.57765,0.31165,1.64692,1.77131,1.57609,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,4829.42,1.55598,1.58212,1.55743,0.61738,0.54785,0.58216,0.31478,1.6511,1.75184,1.5746,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,6034.63,1.5349,1.54109,1.54465,0.62539,0.54995,0.59139,0.31924,1.64112,1.73283,1.56807,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,7239.96,1.51585,1.50159,1.52995,0.62159,0.5629,0.59476,0.32213,1.63658,1.71932,1.5644,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,8435.01,1.49816,1.45987,1.51875,0.63631,0.56267,0.59749,0.32368,1.63785,1.70362,1.56863,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,9630.96,1.48152,1.42564,1.50371,0.63628,0.56806,0.60109,0.32607,1.63833,1.68399,1.5667,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,10834.8,1.45615,1.38459,1.48753,0.63739,0.56859,0.60273,0.32766,1.63972,1.67383,1.56947,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,12040.5,1.43974,1.34912,1.47211,0.6398,0.57534,0.60733,0.3298,1.64429,1.6694,1.57122,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,13244.3,1.42402,1.32,1.46148,0.64294,0.57144,0.6087,0.32997,1.64839,1.6684,1.57557,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,14441.9,1.4077,1.28651,1.45105,0.64775,0.57048,0.6105,0.3301,1.65214,1.66657,1.57939,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
