epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
19,1124.69,1.59577,1.75879,1.54493,0.60084,0.52894,0.55492,0.29462,1.65679,1.83055,1.56922,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,2236.19,1.59284,1.74764,1.54081,0.60358,0.53816,0.56141,0.29811,1.65651,1.83411,1.56953,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,3344.7,1.5769,1.62832,1.57139,0.62409,0.53546,0.57398,0.30766,1.65655,1.77447,1.56598,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,4448.37,1.55465,1.58552,1.55227,0.61431,0.55305,0.57852,0.3105,1.65807,1.75479,1.56634,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,5551.95,1.53583,1.54696,1.54312,0.62417,0.54992,0.58465,0.31484,1.65475,1.73672,1.56791,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,6657.19,1.5146,1.50382,1.52861,0.63082,0.55666,0.58975,0.31796,1.65391,1.73192,1.56615,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,7762.61,1.49527,1.46712,1.51412,0.63464,0.55518,0.59445,0.32053,1.64379,1.70492,1.5613,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,8868.43,1.48057,1.42781,1.50076,0.63209,0.56508,0.59865,0.32288,1.64644,1.69205,1.56149,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,9973.78,1.45427,1.38669,1.4848,0.63966,0.56092,0.60179,0.32457,1.65261,1.6956,1.56444,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,11079.7,1.43854,1.35524,1.46939,0.64212,0.56338,0.60446,0.32554,1.66425,1.69578,1.5732,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,12185.2,1.42298,1.32815,1.46198,0.64144,0.5691,0.60392,0.32587,1.66524,1.6914,1.5759,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,13297.4,1.40504,1.29495,1.44858,0.64577,0.56977,0.60704,0.32616,1.66988,1.68913,1.57882,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
