epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.101,2.22962,4.17072,2.08504,0.04385,0.08415,0.02271,0.00706,2.54474,5.467,2.53514,0.000369231,0.000369231,0.000369231
2,393.877,2.24237,3.26587,2.15606,0.20477,0.08939,0.05328,0.01949,2.34872,3.78679,2.41373,0.000715159,0.000715159,0.000715159
3,590.464,2.26377,3.25913,2.14158,0.07218,0.10827,0.04265,0.01485,2.32471,3.76448,2.28902,0.00103664,0.00103664,0.00103664
4,786.407,2.20325,3.12083,2.08382,0.17726,0.11066,0.06731,0.02407,2.25719,4.4125,2.2588,0.00100101,0.00100101,0.00100101
5,982.177,2.15943,2.99144,2.03936,0.38804,0.14163,0.10494,0.0403,2.14476,3.09142,2.17709,0.000964348,0.000964348,0.000964348
6,1178.23,2.10198,2.90725,1.99651,0.39556,0.17379,0.12511,0.04748,2.09635,2.93643,2.11507,0.000927685,0.000927685,0.000927685
7,1374.02,2.07895,2.81489,1.95576,0.39216,0.20821,0.12752,0.0509,2.10819,3.03001,2.12962,0.000891022,0.000891022,0.000891022
8,1569.82,2.03971,2.76942,1.94685,0.3881,0.2153,0.14834,0.06041,2.08137,2.86627,2.09508,0.000854359,0.000854359,0.000854359
9,1765.09,2.02483,2.70713,1.93138,0.38949,0.17989,0.13022,0.05264,2.10249,2.88067,2.14229,0.000817696,0.000817696,0.000817696
10,1959.96,1.97718,2.70226,1.89268,0.21622,0.19951,0.14082,0.05711,2.04581,2.72809,2.02492,0.000781033,0.000781033,0.000781033
11,2154.83,1.99773,2.6266,1.88248,0.46178,0.2244,0.18576,0.07554,2.04362,2.65997,2.01591,0.00074437,0.00074437,0.00074437
12,2349.73,1.95998,2.59185,1.86344,0.39221,0.25159,0.16672,0.07075,1.97386,2.77179,2.02219,0.000707707,0.000707707,0.000707707
13,2543.87,1.95947,2.56723,1.86705,0.44888,0.25367,0.20284,0.08268,2.0119,2.55588,1.98765,0.000671044,0.000671044,0.000671044
14,2738.93,1.9288,2.49148,1.83269,0.48575,0.22752,0.19755,0.08266,1.99183,2.53271,2.01924,0.000634381,0.000634381,0.000634381
15,2933.46,1.90365,2.45339,1.81961,0.45782,0.28745,0.21874,0.09052,1.9642,2.52315,1.95568,0.000597718,0.000597718,0.000597718
16,3128.06,1.89871,2.40238,1.81778,0.51299,0.25569,0.23091,0.09628,1.93005,2.52072,1.97178,0.000561055,0.000561055,0.000561055
17,3322.83,1.87098,2.39124,1.79957,0.49348,0.26611,0.22924,0.09705,1.97148,2.44886,2.00005,0.000524392,0.000524392,0.000524392
18,3517.73,1.87616,2.34723,1.81169,0.49317,0.29595,0.24594,0.10786,1.92877,2.36321,1.96987,0.000487729,0.000487729,0.000487729
19,3712.75,1.85518,2.31208,1.78681,0.50228,0.28285,0.25555,0.1076,1.92168,2.36368,1.94901,0.000451066,0.000451066,0.000451066
20,3907.23,1.83848,2.28237,1.76949,0.48936,0.29572,0.25311,0.11026,1.89001,2.35506,1.91848,0.000414403,0.000414403,0.000414403
21,4102.29,1.86175,2.28537,1.86724,0.51339,0.28939,0.26766,0.11792,1.88808,2.29305,1.92581,0.00037774,0.00037774,0.00037774
22,4297.41,1.83538,2.21935,1.84429,0.33707,0.31909,0.27947,0.12281,1.92838,2.2487,1.93045,0.000341077,0.000341077,0.000341077
23,4492.43,1.83324,2.18922,1.83793,0.54257,0.2938,0.2851,0.1271,1.87731,2.20593,1.90267,0.000304414,0.000304414,0.000304414
24,4687.5,1.8098,2.10111,1.82317,0.54607,0.3177,0.30322,0.13628,1.87962,2.18216,1.88869,0.000267751,0.000267751,0.000267751
25,4882.43,1.77572,2.0505,1.80305,0.38906,0.31012,0.32169,0.14271,1.89228,2.16492,1.91813,0.000231088,0.000231088,0.000231088
26,5077.41,1.7714,2.05833,1.80413,0.56107,0.33016,0.30972,0.14224,1.86405,2.13248,1.89382,0.000194425,0.000194425,0.000194425
27,5271.93,1.73196,2.00571,1.76261,0.56332,0.32428,0.31643,0.14571,1.86783,2.10355,1.89743,0.000157762,0.000157762,0.000157762
28,5466.81,1.72795,1.93746,1.7624,0.35565,0.33746,0.32344,0.14845,1.86333,2.06518,1.89333,0.000121099,0.000121099,0.000121099
29,5661.59,1.70992,1.93394,1.75951,0.3767,0.33576,0.3312,0.15573,1.85727,2.06701,1.88909,8.4436e-05,8.4436e-05,8.4436e-05
30,5856.53,1.70476,1.88592,1.74717,0.3885,0.33911,0.33581,0.15629,1.87026,2.05,1.8959,4.7773e-05,4.7773e-05,4.7773e-05
