epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1254.88,1.42612,1.42978,1.42824,0.62032,0.55235,0.58007,0.30657,1.69985,1.78263,1.62082,0.00999405,0.00333135,0.00999405,0.00333135,0.00999405,0.00333135,0.00999405,0.00333135
2,2412.49,1.45839,1.47968,1.44616,0.56578,0.53464,0.53713,0.27336,1.74708,1.8963,1.63988,0.0193342,0.00644475,0.0193342,0.00644475,0.0193342,0.00644475,0.0193342,0.00644475
3,3536.09,1.61029,1.73549,1.53888,0.54193,0.46912,0.4845,0.24045,1.79348,2.01111,1.6664,0.0280144,0.00933815,0.0280144,0.00933815,0.0280144,0.00933815,0.0280144,0.00933815
4,4653.82,1.66678,1.85889,1.58624,0.52606,0.46927,0.46548,0.22973,1.77459,2.08297,1.64524,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,5773.13,1.6669,1.85372,1.59,0.54482,0.45094,0.45533,0.22592,1.79181,2.23648,1.6669,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,6886.7,1.64572,1.82422,1.57671,0.55292,0.48463,0.4954,0.25562,1.75475,1.99221,1.64084,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,8006.23,1.64467,1.79338,1.56686,0.55676,0.5077,0.50896,0.26036,1.73559,1.99915,1.6371,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,9122.18,1.62344,1.76898,1.56252,0.572,0.51034,0.5271,0.27212,1.71912,1.91705,1.60369,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,10234.7,1.61094,1.75137,1.54234,0.58371,0.52165,0.54429,0.28206,1.70634,2.01816,1.61322,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,11345.2,1.60575,1.72023,1.53861,0.58999,0.52328,0.54674,0.28747,1.70851,1.86549,1.59964,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,12455.3,1.59028,1.68962,1.52389,0.57799,0.52935,0.5459,0.28722,1.69764,1.85649,1.58693,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,13564.3,1.57071,1.65626,1.51369,0.59425,0.54191,0.56196,0.29736,1.69427,1.80518,1.59148,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,14673.4,1.5604,1.64026,1.50415,0.59683,0.54525,0.57253,0.30318,1.68389,1.78932,1.57782,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,15783.2,1.54711,1.62032,1.50149,0.61147,0.54478,0.57533,0.30573,1.67232,1.77016,1.58552,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,16895.3,1.54175,1.58558,1.49075,0.62885,0.55566,0.58598,0.31184,1.68549,1.76287,1.57661,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,18011.3,1.5247,1.55767,1.4784,0.60618,0.56463,0.58474,0.3134,1.68235,1.73383,1.57891,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,19129.1,1.51279,1.54008,1.46967,0.6308,0.56038,0.59679,0.32146,1.67616,1.71851,1.57932,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,20241.4,1.50158,1.5104,1.46496,0.63329,0.56586,0.59932,0.32039,1.68129,1.68514,1.59131,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,21353.4,1.50361,1.50149,1.46261,0.64251,0.5702,0.60571,0.32744,1.67398,1.65886,1.57272,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,22465,1.48199,1.47337,1.44922,0.63867,0.56906,0.60868,0.32905,1.66485,1.66732,1.57547,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,23575.4,1.45825,1.35362,1.46913,0.64575,0.56936,0.60936,0.33101,1.66246,1.62834,1.5667,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,24684.7,1.43757,1.30018,1.45434,0.64128,0.58403,0.61529,0.33204,1.661,1.63963,1.56774,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,25795.5,1.41846,1.26838,1.4433,0.65784,0.57521,0.61678,0.33295,1.66656,1.62385,1.57299,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,26905.2,1.39623,1.22713,1.4261,0.65321,0.5741,0.61906,0.33331,1.67333,1.61309,1.58058,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,28018.2,1.37747,1.19204,1.41163,0.6767,0.56258,0.61895,0.33224,1.68402,1.62507,1.58916,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,29131.3,1.35507,1.14954,1.39431,0.67465,0.57045,0.61862,0.33299,1.69325,1.62787,1.59608,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,30242.9,1.33168,1.11906,1.38098,0.65005,0.58342,0.6171,0.33118,1.70669,1.63653,1.61154,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,31354.8,1.3119,1.08927,1.36866,0.6588,0.58089,0.61845,0.33053,1.71574,1.62292,1.62089,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,32465.7,1.29128,1.05635,1.35519,0.66636,0.57786,0.61823,0.32972,1.72038,1.62752,1.62597,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,33576.7,1.26982,1.02458,1.34016,0.66535,0.57559,0.61547,0.32768,1.72742,1.63778,1.63292,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
