epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.257,3.50818,4.99268,3.5866,0.00091,0.23063,0.00134,0.00034,3.13143,4.81579,3.17193,0.000369231,0.000369231,0.000369231
2,460.695,3.09882,4.26139,2.94805,0.00089,0.20987,0.00379,0.00105,2.94671,4.48937,3.01173,0.000732243,0.000732243,0.000732243
3,684.832,2.86276,4.07735,2.73364,0.00169,0.4651,0.01305,0.00386,2.63472,4.17678,2.6745,0.00108792,0.00108792,0.00108792
4,909.659,2.62835,3.89051,2.56237,0.04521,0.05058,0.02125,0.00591,2.64093,4.06424,2.64084,0.001078,0.001078,0.001078
5,1134.3,2.52253,3.73798,2.46333,0.07555,0.07253,0.01645,0.00485,2.39956,4.09415,2.51511,0.001067,0.001067,0.001067
6,1357.75,2.41361,3.635,2.37049,0.25278,0.06034,0.02802,0.00916,2.40794,4.01316,2.446,0.00105601,0.00105601,0.00105601
7,1582.54,2.34339,3.52028,2.28154,0.28652,0.06137,0.04583,0.01602,2.27077,3.5782,2.39828,0.00104501,0.00104501,0.00104501
8,1806.69,2.31291,3.46047,2.27205,0.29906,0.09991,0.06176,0.01981,2.31683,3.44558,2.40149,0.00103401,0.00103401,0.00103401
9,2030.73,2.27675,3.39794,2.25118,0.36972,0.10937,0.07786,0.02778,2.26617,3.33632,2.34009,0.00102301,0.00102301,0.00102301
10,2254.81,2.22408,3.33706,2.19814,0.39256,0.10242,0.07559,0.02807,2.20694,3.30338,2.322,0.00101201,0.00101201,0.00101201
11,2479.17,2.20152,3.28057,2.16274,0.34915,0.1104,0.087,0.03454,2.16248,3.2188,2.23245,0.00100101,0.00100101,0.00100101
12,2703.53,2.17111,3.21872,2.14683,0.39059,0.13853,0.09481,0.03454,2.12152,3.18521,2.22062,0.000990012,0.000990012,0.000990012
13,2927.95,2.15922,3.17768,2.13254,0.38669,0.12763,0.09607,0.03733,2.14648,3.17525,2.18289,0.000979013,0.000979013,0.000979013
14,3152.77,2.13458,3.11967,2.10907,0.38576,0.14289,0.11215,0.04236,2.0915,3.08059,2.23394,0.000968014,0.000968014,0.000968014
15,3377.26,2.10833,3.07676,2.08677,0.36705,0.17489,0.11114,0.0427,2.0419,2.99037,2.13344,0.000957015,0.000957015,0.000957015
16,3602.52,2.09241,3.02486,2.06794,0.38793,0.17803,0.1165,0.04466,2.06419,3.15055,2.17357,0.000946016,0.000946016,0.000946016
17,3827.44,2.08822,3.01498,2.06661,0.3752,0.17548,0.11055,0.04164,2.03388,3.10862,2.19183,0.000935018,0.000935018,0.000935018
18,4051.75,2.07285,2.98167,2.06402,0.41825,0.17066,0.13386,0.05069,2.02009,2.93084,2.13527,0.000924019,0.000924019,0.000924019
19,4276.57,2.04165,2.94888,2.02856,0.40943,0.18562,0.13664,0.05536,2.03263,2.92149,2.13511,0.00091302,0.00091302,0.00091302
20,4501.69,2.04337,2.90064,2.02983,0.4069,0.18222,0.13051,0.05268,1.99246,2.94833,2.1368,0.000902021,0.000902021,0.000902021
21,4726.39,2.03354,2.86201,2.00227,0.43282,0.19169,0.15346,0.06149,1.99687,2.81284,2.08248,0.000891022,0.000891022,0.000891022
22,4951.38,2.03335,2.84245,2.01291,0.4371,0.1838,0.1422,0.05781,2.01246,2.83778,2.10632,0.000880023,0.000880023,0.000880023
23,5176.1,2.02889,2.82376,1.99179,0.42197,0.1752,0.14832,0.06007,2.00871,2.87356,2.08843,0.000869024,0.000869024,0.000869024
24,5400.67,2.0049,2.79765,1.98231,0.49241,0.19577,0.16316,0.06244,2.04153,2.77325,2.12035,0.000858025,0.000858025,0.000858025
25,5625.47,2.0097,2.80684,1.97897,0.43352,0.22759,0.17111,0.07125,1.96041,2.74797,2.03904,0.000847026,0.000847026,0.000847026
26,5850.52,1.9932,2.75789,1.96662,0.40695,0.20003,0.1528,0.06276,1.98296,2.72146,2.08056,0.000836027,0.000836027,0.000836027
27,6075.59,1.99507,2.74997,1.95819,0.43121,0.20667,0.16339,0.06732,1.96281,2.71724,2.05553,0.000825029,0.000825029,0.000825029
28,6300.88,1.97209,2.72441,1.93906,0.39205,0.23691,0.16342,0.06768,1.93736,2.81873,2.08222,0.00081403,0.00081403,0.00081403
29,6526.04,1.96633,2.70959,1.94781,0.44851,0.22008,0.17769,0.07086,1.94165,2.63926,2.05219,0.000803031,0.000803031,0.000803031
30,6751.4,1.94834,2.68927,1.94767,0.43926,0.2253,0.17549,0.07361,1.94141,2.68726,2.06848,0.000792032,0.000792032,0.000792032
31,6976.47,1.9533,2.68844,1.94272,0.44637,0.22217,0.18923,0.07952,1.95377,2.59607,2.03501,0.000781033,0.000781033,0.000781033
32,7201.85,1.95789,2.65231,1.93716,0.48731,0.23071,0.19468,0.08575,1.93295,2.61328,1.98909,0.000770034,0.000770034,0.000770034
33,7427.24,1.96759,2.6726,1.92957,0.43796,0.22404,0.1895,0.08201,1.94684,2.5678,2.00481,0.000759035,0.000759035,0.000759035
