epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.076,3.51087,5.0016,3.58965,0.00057,0.21214,0.00177,0.00044,nan,nan,nan,0.000369231,0.000369231,0.000369231
2,464.247,3.15672,4.24969,2.93491,0.00105,0.22988,0.00412,0.001,3.01964,4.4412,2.94116,0.000715159,0.000715159,0.000715159
3,690.542,2.91798,4.07718,2.73142,0.00146,0.32521,0.00909,0.00251,2.84591,4.3224,2.78689,0.00103664,0.00103664,0.00103664
4,916.888,2.69019,3.94889,2.60444,0.40829,0.09381,0.01372,0.00383,2.49427,4.12513,2.67797,0.00100101,0.00100101,0.00100101
5,1143.03,2.53118,3.75274,2.48989,0.01975,0.04688,0.00726,0.00218,2.60143,4.1634,2.64538,0.000964348,0.000964348,0.000964348
6,1369.67,2.42522,3.63736,2.37551,0.2633,0.06542,0.02953,0.00904,2.36351,3.95826,2.48023,0.000927685,0.000927685,0.000927685
7,1596.49,2.36131,3.51374,2.29998,0.30488,0.04523,0.04727,0.01576,2.3045,3.56746,2.42193,0.000891022,0.000891022,0.000891022
8,1823.7,2.3202,3.45975,2.26045,0.32641,0.08719,0.04427,0.01575,2.31338,3.66617,2.37642,0.000854359,0.000854359,0.000854359
9,2051.14,2.27948,3.37909,2.21328,0.34412,0.09965,0.07377,0.02584,2.26466,3.31481,2.28169,0.000817696,0.000817696,0.000817696
10,2278.76,2.22645,3.32434,2.16652,0.34352,0.09602,0.06144,0.02249,2.19919,3.40762,2.27901,0.000781033,0.000781033,0.000781033
11,2505.06,2.21502,3.24952,2.14631,0.40085,0.09639,0.09225,0.03597,2.1721,3.23351,2.27707,0.00074437,0.00074437,0.00074437
12,2731.86,2.18329,3.19268,2.14188,0.35437,0.13691,0.09194,0.03425,2.10515,3.15208,2.18105,0.000707707,0.000707707,0.000707707
13,2958.73,2.15622,3.13998,2.11383,0.36667,0.10416,0.09202,0.03509,2.17157,3.17678,2.18805,0.000671044,0.000671044,0.000671044
14,3184.72,2.12513,3.0611,2.07209,0.42403,0.16922,0.12864,0.04796,2.07037,2.95975,2.15594,0.000634381,0.000634381,0.000634381
15,3411.32,2.10456,3.01391,2.05819,0.37364,0.17298,0.12314,0.04708,2.06757,2.9949,2.13725,0.000597718,0.000597718,0.000597718
16,3638.47,2.08305,2.98399,2.03908,0.40054,0.16799,0.13186,0.05174,2.03319,2.90374,2.11654,0.000561055,0.000561055,0.000561055
17,3865.24,2.06958,2.94047,2.02544,0.40254,0.18369,0.14038,0.05677,2.02428,2.89599,2.13729,0.000524392,0.000524392,0.000524392
18,4092.63,2.04605,2.90013,2.0281,0.41437,0.17274,0.14026,0.05803,2.01689,2.8783,2.10863,0.000487729,0.000487729,0.000487729
19,4319.08,2.02389,2.87014,1.98446,0.41971,0.2002,0.1505,0.05969,2.01196,2.84631,2.0903,0.000451066,0.000451066,0.000451066
20,4546,2.02403,2.84192,1.99142,0.43329,0.19004,0.1528,0.06286,1.97334,2.87205,2.09808,0.000414403,0.000414403,0.000414403
21,4774.16,2.02059,2.85005,2.06683,0.43066,0.18332,0.14622,0.06295,2.02232,2.88599,2.07869,0.00037774,0.00037774,0.00037774
22,5002.12,1.99434,2.76847,2.05245,0.44417,0.21084,0.17095,0.07199,1.96861,2.67646,2.07657,0.000341077,0.000341077,0.000341077
23,5229.76,1.99058,2.76441,2.03872,0.44098,0.20507,0.17128,0.0755,1.95058,2.65787,2.01255,0.000304414,0.000304414,0.000304414
24,5458.02,1.97784,2.68067,2.00642,0.44632,0.22093,0.18951,0.08373,1.97277,2.60789,2.02413,0.000267751,0.000267751,0.000267751
25,5685.67,1.94652,2.63915,2.0003,0.45978,0.23183,0.19763,0.08392,1.95546,2.5867,2.00669,0.000231088,0.000231088,0.000231088
26,5912.48,1.9467,2.63067,1.99701,0.44083,0.24931,0.19116,0.0844,1.92113,2.55675,2.0063,0.000194425,0.000194425,0.000194425
27,6139.8,1.9115,2.58802,1.96563,0.45578,0.24268,0.20599,0.09162,1.91128,2.5504,1.9966,0.000157762,0.000157762,0.000157762
28,6367.42,1.90629,2.55853,1.96895,0.45794,0.25543,0.20325,0.09036,1.91623,2.51145,2.00971,0.000121099,0.000121099,0.000121099
29,6595.14,1.89483,2.54055,1.96338,0.458,0.26074,0.20907,0.09128,1.9209,2.49778,1.99731,8.4436e-05,8.4436e-05,8.4436e-05
30,6823.26,1.89148,2.50267,1.95146,0.46254,0.26425,0.21285,0.09548,1.91117,2.47899,1.98395,4.7773e-05,4.7773e-05,4.7773e-05
