epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
19,1084.22,1.5992,1.75832,1.54642,0.59538,0.54444,0.55807,0.29661,1.67059,1.82809,1.5848,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,2147.42,1.59333,1.74629,1.54142,0.59702,0.54334,0.56193,0.299,1.66781,1.8295,1.59103,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,3209.06,1.57823,1.6245,1.56824,0.59656,0.55477,0.57184,0.30886,1.66132,1.76743,1.57623,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,4269.59,1.55591,1.58331,1.55419,0.60733,0.55897,0.58215,0.31381,1.65751,1.74847,1.56928,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,5330.71,1.53289,1.54647,1.53819,0.62313,0.55655,0.5849,0.31656,1.65329,1.7438,1.56621,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,6392.22,1.51603,1.50754,1.524,0.62353,0.55969,0.58988,0.32069,1.64217,1.72316,1.56016,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,7452.63,1.49829,1.46451,1.514,0.6313,0.55979,0.59425,0.32149,1.64192,1.70928,1.56254,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,8515.04,1.48335,1.42909,1.49593,0.63285,0.56628,0.59794,0.32476,1.64338,1.69424,1.55736,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,9575.7,1.45925,1.38891,1.48539,0.63368,0.56647,0.60145,0.32736,1.64568,1.67667,1.56198,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,10635.5,1.44239,1.35592,1.46756,0.6357,0.5727,0.60476,0.32858,1.65228,1.67615,1.56786,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,11696.6,1.4259,1.32259,1.45638,0.63806,0.57594,0.60632,0.32848,1.66737,1.68664,1.58041,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,12756.6,1.41142,1.28949,1.44976,0.63438,0.58098,0.60727,0.32836,1.67328,1.68449,1.58419,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
