epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1076.22,2.08248,2.8374,1.89445,0.27615,0.22313,0.16598,0.06778,2.27066,3.16812,2.08821,0.000370113,0.000370113,0.000370113
2,2112.25,2.05258,2.65938,1.88379,0.32474,0.28103,0.21713,0.0846,2.14679,3.02181,1.90879,0.000703794,0.000703794,0.000703794
3,3146.22,1.98926,2.53229,1.82245,0.41646,0.31992,0.27567,0.11701,2.01143,2.89381,1.85288,0.00100081,0.00100081,0.00100081
4,4176,1.93004,2.39071,1.77117,0.41499,0.35974,0.32472,0.14472,1.96006,2.46404,1.76546,0.000946016,0.000946016,0.000946016
5,5206.09,1.87483,2.28342,1.73014,0.42782,0.39061,0.35935,0.16536,1.91676,2.53837,1.74796,0.000891022,0.000891022,0.000891022
6,6235.21,1.82731,2.18649,1.68895,0.46982,0.40245,0.3857,0.1827,1.88714,2.38237,1.73449,0.000836027,0.000836027,0.000836027
7,7264.67,1.8018,2.11076,1.66217,0.51238,0.41391,0.41783,0.1998,1.84975,2.30979,1.68227,0.000781033,0.000781033,0.000781033
8,8294.13,1.76647,2.05155,1.64023,0.5014,0.4457,0.44295,0.2147,1.8405,2.1725,1.6766,0.000726038,0.000726038,0.000726038
9,9324.04,1.73579,1.98352,1.61427,0.52064,0.45353,0.45729,0.22866,1.77439,2.12791,1.63343,0.000671044,0.000671044,0.000671044
10,10352.7,1.72255,1.93895,1.6007,0.54166,0.47573,0.47919,0.24041,1.75959,1.98159,1.61843,0.000616049,0.000616049,0.000616049
11,11381,1.7291,1.88929,1.6546,0.54837,0.48522,0.49304,0.25174,1.76783,1.9999,1.62553,0.000561055,0.000561055,0.000561055
12,12406.1,1.70984,1.8228,1.63683,0.57085,0.50127,0.51478,0.26251,1.73941,1.94941,1.59201,0.00050606,0.00050606,0.00050606
13,13432.7,1.68709,1.77681,1.61813,0.55608,0.50317,0.52091,0.27157,1.71466,1.89697,1.58011,0.000451066,0.000451066,0.000451066
14,14458,1.65759,1.72649,1.59583,0.59485,0.50501,0.53651,0.281,1.71147,1.8311,1.57956,0.000396071,0.000396071,0.000396071
15,15482.5,1.63897,1.67978,1.57778,0.5871,0.53539,0.55036,0.29024,1.68302,1.86239,1.55208,0.000341077,0.000341077,0.000341077
16,16507.7,1.61535,1.63456,1.565,0.60826,0.52937,0.55889,0.29703,1.68056,1.8255,1.54903,0.000286083,0.000286083,0.000286083
17,17531.8,1.59347,1.59316,1.55024,0.61391,0.53597,0.56904,0.30442,1.68673,1.79783,1.55866,0.000231088,0.000231088,0.000231088
18,18556.6,1.5736,1.55679,1.53885,0.61733,0.54451,0.57747,0.30817,1.66914,1.76818,1.54645,0.000176094,0.000176094,0.000176094
19,19581.6,1.55035,1.51097,1.52263,0.62301,0.54462,0.58131,0.31195,1.65669,1.76011,1.53983,0.000121099,0.000121099,0.000121099
20,20606.8,1.54147,1.48267,1.51231,0.63005,0.54631,0.58648,0.31436,1.67118,1.73089,1.54557,6.61045e-05,6.61045e-05,6.61045e-05
