epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.018,2.0645,3.36238,1.81299,0.25433,0.2285,0.15795,0.06373,2.19073,3.36112,1.82575,0.000370113,0.000370113,0.000370113
2,793.057,2.01751,2.63759,1.77173,0.31586,0.25259,0.2067,0.08533,2.17936,2.88579,1.82382,0.000703794,0.000703794,0.000703794
3,1165.42,1.98948,2.53181,1.74948,0.43724,0.29489,0.27127,0.1167,2.05504,2.83494,1.80086,0.00100081,0.00100081,0.00100081
4,1536.21,1.94971,2.42153,1.71301,0.38118,0.33637,0.28685,0.12694,2.01356,2.73675,1.73221,0.000946016,0.000946016,0.000946016
5,1903.81,1.89836,2.33825,1.67873,0.4297,0.37775,0.3533,0.15945,1.94191,2.49237,1.67992,0.000891022,0.000891022,0.000891022
6,2272.03,1.85923,2.25799,1.64431,0.40955,0.38538,0.35013,0.16392,1.93445,2.45403,1.68254,0.000836027,0.000836027,0.000836027
7,2640.09,1.8363,2.19059,1.62063,0.48342,0.39234,0.3837,0.18032,1.9136,2.42041,1.6554,0.000781033,0.000781033,0.000781033
8,3026.95,1.80163,2.13242,1.60217,0.47907,0.42759,0.41513,0.19984,1.87961,2.2447,1.62872,0.000726038,0.000726038,0.000726038
9,3391.06,1.78144,2.07788,1.57879,0.52356,0.4288,0.43855,0.21443,1.84378,2.24978,1.60763,0.000671044,0.000671044,0.000671044
10,3757.02,1.77546,2.04668,1.57158,0.5187,0.43047,0.44161,0.21996,1.82626,2.15873,1.57981,0.000616049,0.000616049,0.000616049
11,4113.66,1.7724,1.97584,1.60849,0.5334,0.45089,0.46704,0.23253,1.80937,2.092,1.57362,0.000561055,0.000561055,0.000561055
12,4465.38,1.74668,1.91245,1.59028,0.54017,0.46243,0.48299,0.24376,1.81467,2.05593,1.56258,0.00050606,0.00050606,0.00050606
13,4813.81,1.73278,1.87573,1.58063,0.55857,0.46655,0.4935,0.25039,1.78912,2.03723,1.55144,0.000451066,0.000451066,0.000451066
14,5161.02,1.70905,1.83734,1.5614,0.56086,0.47669,0.50126,0.25695,1.76799,1.9839,1.54105,0.000396071,0.000396071,0.000396071
15,5508.97,1.69073,1.78717,1.54431,0.55904,0.49626,0.51336,0.2675,1.76472,1.94524,1.53211,0.000341077,0.000341077,0.000341077
16,5865.98,1.6728,1.75203,1.53623,0.56876,0.50038,0.5233,0.27309,1.74834,1.94881,1.52534,0.000286083,0.000286083,0.000286083
17,6230.34,1.65287,1.71831,1.51907,0.58672,0.50124,0.52891,0.27706,1.74396,1.92634,1.51244,0.000231088,0.000231088,0.000231088
18,6589.39,1.63633,1.68457,1.50654,0.58388,0.5017,0.53435,0.28209,1.73742,1.92345,1.50988,0.000176094,0.000176094,0.000176094
19,6945.62,1.61652,1.64515,1.4915,0.59098,0.51265,0.53981,0.28437,1.72668,1.90317,1.50716,0.000121099,0.000121099,0.000121099
20,7303.77,1.61126,1.62511,1.48709,0.5942,0.51403,0.54347,0.28694,1.73507,1.87201,1.50964,6.61045e-05,6.61045e-05,6.61045e-05
