epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,568.848,2.04646,2.9058,1.81279,0.31999,0.25623,0.1837,0.07225,2.26367,3.16105,2.00554,0.000370113,0.000370113,0.000370113
2,1086.39,2.01228,2.54202,1.79126,0.29922,0.30139,0.22295,0.09139,2.12277,3.06221,1.90102,0.000703794,0.000703794,0.000703794
3,1602.73,1.97239,2.45739,1.75923,0.45747,0.30781,0.29286,0.1256,2.03158,2.69972,1.76306,0.00100081,0.00100081,0.00100081
4,2117.14,1.9207,2.3366,1.70828,0.45588,0.3671,0.346,0.15533,1.98759,2.5442,1.74212,0.000946016,0.000946016,0.000946016
5,2630.27,1.86694,2.23347,1.66586,0.43505,0.39979,0.36666,0.16848,1.92222,2.41266,1.67742,0.000891022,0.000891022,0.000891022
6,3144.42,1.82397,2.1539,1.63037,0.45978,0.40554,0.38708,0.18471,1.86923,2.27469,1.63853,0.000836027,0.000836027,0.000836027
7,3658.45,1.79165,2.07786,1.60142,0.48722,0.43084,0.42045,0.2077,1.83696,2.21502,1.59996,0.000781033,0.000781033,0.000781033
8,4172.53,1.76743,2.02754,1.58962,0.49785,0.44924,0.43818,0.21532,1.81818,2.10643,1.59942,0.000726038,0.000726038,0.000726038
9,4686.12,1.73995,1.9661,1.56244,0.52849,0.46015,0.46351,0.23408,1.79402,2.07192,1.58468,0.000671044,0.000671044,0.000671044
10,5198.26,1.72733,1.9397,1.55202,0.53465,0.47073,0.47449,0.23805,1.77958,2.02226,1.57374,0.000616049,0.000616049,0.000616049
11,5708.24,1.73308,1.86743,1.59469,0.54414,0.48261,0.49361,0.25146,1.7798,1.96533,1.55911,0.000561055,0.000561055,0.000561055
12,6215.51,1.70613,1.80821,1.57654,0.5664,0.49378,0.5094,0.25984,1.75639,1.93421,1.53669,0.00050606,0.00050606,0.00050606
13,6723.05,1.6862,1.76008,1.56054,0.58046,0.49511,0.51985,0.26959,1.74121,1.90909,1.52303,0.000451066,0.000451066,0.000451066
14,7228.97,1.65868,1.71917,1.54021,0.57978,0.50387,0.5304,0.27761,1.71911,1.86966,1.5147,0.000396071,0.000396071,0.000396071
15,7734.99,1.6448,1.66959,1.52703,0.60247,0.51152,0.54427,0.28699,1.71113,1.8548,1.50753,0.000341077,0.000341077,0.000341077
16,8240.66,1.62777,1.63232,1.51611,0.60009,0.52098,0.5555,0.29501,1.69492,1.83054,1.49013,0.000286083,0.000286083,0.000286083
17,8746.15,1.60221,1.59073,1.49686,0.60504,0.5343,0.56478,0.30047,1.70004,1.81996,1.49618,0.000231088,0.000231088,0.000231088
18,9252.02,1.58416,1.55475,1.48177,0.61542,0.53149,0.56804,0.30392,1.69827,1.80975,1.48525,0.000176094,0.000176094,0.000176094
19,9757.84,1.56254,1.51148,1.46871,0.60799,0.54064,0.57086,0.30719,1.68326,1.77948,1.48617,0.000121099,0.000121099,0.000121099
20,10261.3,1.54898,1.49057,1.46063,0.6135,0.53968,0.57509,0.30913,1.68348,1.75248,1.48161,6.61045e-05,6.61045e-05,6.61045e-05
