epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1141.85,1.89641,2.73584,1.71829,0.42958,0.34831,0.30744,0.14281,1.9783,2.58162,1.76299,0.00999405,0.00333135,0.00999405,0.00333135,0.00999405,0.00333135,0.00999405,0.00333135
2,2187.84,1.90675,2.30526,1.71263,0.37885,0.32432,0.27242,0.11456,2.08324,2.82615,1.85007,0.0193342,0.00644475,0.0193342,0.00644475,0.0193342,0.00644475,0.0193342,0.00644475
3,3197.52,2.00163,2.46665,1.80376,0.35076,0.27068,0.22827,0.09502,2.17472,2.99906,2.01087,0.0280144,0.00933815,0.0280144,0.00933815,0.0280144,0.00933815,0.0280144,0.00933815
4,4194.36,1.98925,2.45305,1.81128,0.41529,0.33122,0.30366,0.13401,2.04729,2.67997,1.83358,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,5189.29,1.90134,2.28291,1.75445,0.42075,0.38174,0.34286,0.1621,1.9336,2.4667,1.75803,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,6183.69,1.82621,2.15746,1.70617,0.49931,0.4284,0.40994,0.1943,1.86613,2.28246,1.71347,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,7179.86,1.79983,2.06391,1.67452,0.50492,0.43798,0.43553,0.21519,1.81401,2.2022,1.67505,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,8175.16,1.765,2.00609,1.65601,0.53361,0.45498,0.4649,0.23134,1.81555,2.08994,1.6842,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,9171.36,1.73898,1.94663,1.62255,0.56964,0.47538,0.49771,0.25292,1.77109,2.09847,1.6293,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,10166.1,1.72037,1.89669,1.60831,0.56115,0.49439,0.50752,0.2619,1.74738,1.97711,1.60549,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,11162.9,1.69462,1.84162,1.58757,0.56517,0.4961,0.51037,0.26357,1.72146,1.92576,1.6001,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,12157.7,1.67288,1.79173,1.56897,0.58339,0.5077,0.53237,0.27433,1.71147,1.88079,1.58532,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,13152.5,1.65368,1.77225,1.55309,0.59379,0.51941,0.54522,0.28237,1.6969,1.83811,1.56181,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,14148.2,1.63837,1.74055,1.54943,0.59227,0.52702,0.54978,0.29067,1.68267,1.8164,1.57127,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,15143.6,1.62495,1.69101,1.53452,0.61188,0.54328,0.5691,0.30179,1.679,1.80534,1.55674,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,16138.2,1.60597,1.66611,1.52436,0.61206,0.54733,0.5731,0.30475,1.6584,1.73942,1.54774,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,17133.6,1.5909,1.63243,1.51115,0.62263,0.55196,0.58469,0.31383,1.66254,1.72782,1.53821,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,18129,1.57548,1.59612,1.50149,0.61685,0.56665,0.59329,0.32073,1.64077,1.69448,1.52943,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,19124.7,1.55997,1.56307,1.49032,0.63575,0.55791,0.59828,0.3244,1.64271,1.6631,1.53052,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,20119.3,1.53785,1.5337,1.47605,0.63162,0.56804,0.60436,0.32905,1.63597,1.63294,1.52808,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,21112.8,1.53826,1.4375,1.50237,0.64374,0.5628,0.60754,0.33241,1.63911,1.60635,1.523,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,22104.1,1.51029,1.38854,1.49217,0.63708,0.57955,0.61404,0.33431,1.63383,1.59389,1.53097,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,23096.9,1.4981,1.35608,1.48338,0.64814,0.58389,0.62159,0.34017,1.63209,1.58739,1.5313,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,24088.8,1.47505,1.30607,1.46494,0.65063,0.58135,0.62305,0.34042,1.6359,1.5803,1.5304,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,25079.4,1.45355,1.27574,1.44731,0.65615,0.58493,0.62483,0.34185,1.63368,1.56519,1.52973,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,26071.3,1.43133,1.22429,1.4348,0.65757,0.58952,0.62788,0.3429,1.64927,1.55964,1.5379,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,27064.5,1.41196,1.19506,1.42171,0.66331,0.5954,0.63045,0.34373,1.6522,1.55959,1.54117,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,28057.4,1.38855,1.15594,1.40558,0.66961,0.59242,0.63194,0.34441,1.65035,1.56208,1.53964,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,29050.5,1.37158,1.1204,1.39443,0.6777,0.59078,0.63334,0.34446,1.65691,1.55119,1.54397,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,30043.2,1.34932,1.08383,1.3803,0.68011,0.58932,0.63308,0.34353,1.66217,1.5486,1.549,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
