epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.282,2.04278,3.28161,1.79385,0.28633,0.26148,0.19426,0.07888,2.13581,3.47862,1.8744,0.000370113,0.000370113,0.000370113
2,936.55,2.00923,2.65438,1.76625,0.30633,0.28457,0.20319,0.08712,2.14582,2.99036,1.82499,0.000703794,0.000703794,0.000703794
3,1383.28,1.9901,2.54567,1.74232,0.37553,0.3197,0.27938,0.11916,2.05396,2.64293,1.8023,0.00100081,0.00100081,0.00100081
4,1837.87,1.92699,2.42309,1.70078,0.38845,0.35574,0.31085,0.13826,1.9937,2.57837,1.74027,0.000946016,0.000946016,0.000946016
5,2280.78,1.88556,2.32464,1.66496,0.41067,0.354,0.32895,0.15465,1.95963,2.4719,1.72376,0.000891022,0.000891022,0.000891022
6,2722.06,1.8406,2.24227,1.6378,0.43134,0.38545,0.36654,0.17352,1.89904,2.38475,1.66544,0.000836027,0.000836027,0.000836027
7,3169.91,1.82935,2.18578,1.61572,0.47679,0.39693,0.39279,0.18977,1.8815,2.41113,1.66209,0.000781033,0.000781033,0.000781033
8,3624.33,1.80492,2.14121,1.60485,0.47523,0.42649,0.41381,0.20257,1.85742,2.25181,1.60391,0.000726038,0.000726038,0.000726038
9,4078.64,1.77769,2.08984,1.58149,0.48832,0.44747,0.43748,0.21597,1.82934,2.2776,1.59315,0.000671044,0.000671044,0.000671044
10,4532.48,1.76718,2.04794,1.56744,0.52344,0.44943,0.45804,0.22627,1.81997,2.1779,1.58158,0.000616049,0.000616049,0.000616049
11,4941.69,1.75998,1.97178,1.60806,0.5333,0.45566,0.46773,0.23753,1.79983,2.10669,1.58068,0.000561055,0.000561055,0.000561055
12,5352.62,1.73721,1.91733,1.59347,0.54634,0.45885,0.47659,0.24328,1.78063,2.10026,1.55355,0.00050606,0.00050606,0.00050606
13,5760.4,1.71349,1.87012,1.56964,0.55109,0.47824,0.49334,0.25294,1.77278,2.02355,1.54625,0.000451066,0.000451066,0.000451066
14,6167.4,1.69952,1.83233,1.55754,0.57049,0.47851,0.50295,0.26004,1.7526,1.9992,1.52565,0.000396071,0.000396071,0.000396071
15,6573.44,1.67917,1.78607,1.53846,0.55779,0.50008,0.51283,0.26759,1.74572,1.96045,1.51639,0.000341077,0.000341077,0.000341077
16,6991.89,1.65684,1.75078,1.52508,0.56287,0.49745,0.5181,0.27022,1.74142,1.98073,1.51094,0.000286083,0.000286083,0.000286083
17,7403.21,1.64608,1.71739,1.5136,0.57408,0.50526,0.5268,0.27701,1.74407,1.9466,1.50802,0.000231088,0.000231088,0.000231088
18,7812.38,1.62412,1.68727,1.50415,0.58159,0.50199,0.53181,0.27878,1.73385,1.90606,1.51001,0.000176094,0.000176094,0.000176094
19,8220.54,1.61357,1.65057,1.49217,0.58771,0.51008,0.53659,0.28281,1.73358,1.92987,1.50225,0.000121099,0.000121099,0.000121099
20,8625.75,1.5976,1.63326,1.48322,0.59353,0.50938,0.53961,0.28389,1.73197,1.92547,1.50041,6.61045e-05,6.61045e-05,6.61045e-05
